                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.1081,                 3.8402,                 1.6605,                0.00167,                    0.5,                0.01692,                0.00522,                      0,                    inf,                      0,                    0.1,                      0,                      0
                      1,                  1.709,                 3.9373,                 1.7004,                0.00167,                    0.5,                 0.0181,                0.00557,                      0,                    inf,                      0,                 0.0991,             9.9505e-05,             9.9505e-05
                      2,                 1.9781,                 4.2938,                 1.8029,                0.00167,                    0.5,                0.01946,                0.00598,                      0,                    inf,                      0,               0.098198,             0.00019802,             0.00019802
                      3,                 1.7751,                  4.242,                 1.8444,                0.00167,                    0.5,                0.02105,                0.00645,                      0,                    inf,                      0,               0.097296,             0.00029554,             0.00029554
                      4,                 1.8056,                  4.332,                 1.7346,                0.00167,                    0.5,                0.12418,                0.02525,                      0,                    inf,                      0,               0.096392,             0.00039208,             0.00039208
                      5,                 2.1726,                 3.9824,                 1.7939,                0.00167,                    0.5,                0.12418,                0.02526,                      0,                    inf,                      0,               0.095488,             0.00048762,             0.00048762
                      6,                 2.3826,                  3.925,                 1.8382,                0.00167,                    0.5,                0.12418,                0.03754,                      0,                    inf,                      0,               0.094582,             0.00058218,             0.00058218
                      7,                 1.7442,                 4.1667,                 1.7774,                0.00167,                    0.5,                0.09942,                0.03012,                      0,                    inf,                      0,               0.093676,             0.00067574,             0.00067574
                      8,                 1.3435,                 3.9981,                 1.0719,                0.00167,                    0.5,                0.07114,                0.02163,                      0,                    inf,                      0,               0.092768,             0.00076832,             0.00076832
                      9,                 1.0274,                 3.3355,                 1.0965,                0.00333,                      1,                0.08689,                0.02573,                      0,                    inf,                      0,                0.09186,             0.00085991,             0.00085991
                     10,                  1.303,                 3.5375,                 1.2535,                0.00333,                      1,                0.25205,                0.07556,                      0,                    inf,                      0,               0.090951,              0.0009505,              0.0009505
                     11,                 1.3463,                 3.3582,                 1.1691,                0.00333,                      1,                0.25235,                0.07736,                      0,                    inf,                      0,                0.09004,              0.0010401,              0.0010401
                     12,                  1.054,                 3.5195,                 1.1877,                0.00333,                      1,                0.53071,                0.15501,                      0,                    inf,                      0,               0.089129,              0.0011287,              0.0011287
                     13,                0.84752,                 3.5622,                 1.0152,                0.00333,                      1,                0.82833,                0.19297,                      0,                    inf,                      0,               0.088216,              0.0012163,              0.0012163
                     14,                 1.0217,                 3.1584,                 1.0997,                0.00333,                      1,                0.52625,                0.16228,                      0,                    inf,                      0,               0.087303,               0.001303,               0.001303
                     15,                 1.0034,                 3.3562,                 1.0918,                0.00333,                      1,                0.33167,                 0.1089,                      0,                    inf,                      0,               0.086389,              0.0013886,              0.0013886
                     16,                0.96254,                 3.2239,                 1.0337,                0.00333,                      1,                 0.4975,                0.15064,                      0,                    inf,                      0,               0.085473,              0.0014733,              0.0014733
                     17,                0.89547,                  3.019,                0.92395,                0.00333,                      1,                 0.4975,                0.15064,                      0,                    inf,                      0,               0.084557,              0.0015569,              0.0015569
                     18,                 0.8948,                  2.866,                0.90138,                0.00333,                      1,                 0.4975,                0.17493,                      0,                    inf,                      0,                0.08364,              0.0016396,              0.0016396
                     19,                0.96108,                 3.0625,                 1.0132,                0.00333,                      1,                 0.4975,                0.17493,                      0,                    inf,                      0,               0.082721,              0.0017213,              0.0017213
                     20,                0.89469,                 2.8952,                0.91216,                0.00333,                      1,                0.66333,                0.26677,                      0,                    inf,                      0,               0.081802,               0.001802,               0.001802
                     21,                0.78154,                 2.5716,                0.72713,                0.00333,                      1,                0.66333,                0.26677,                      0,                    inf,                      0,               0.080882,              0.0018817,              0.0018817
                     22,                 0.5795,                 2.7217,                 0.9056,                0.00333,                      1,                0.66333,                0.27365,                      0,                    inf,                      0,                0.07996,              0.0019604,              0.0019604
                     23,                 0.6607,                 2.7089,                 0.9587,                0.00333,                      1,                0.66333,                0.27365,                      0,                    inf,                      0,               0.079038,              0.0020381,              0.0020381
                     24,                0.65845,                 3.0178,                0.93388,                0.00333,                      1,                  0.695,                0.25888,                      0,                    inf,                      0,               0.078115,              0.0021149,              0.0021149
                     25,                0.77139,                 2.5242,                 0.7983,                0.00333,                      1,                  0.695,                0.25888,                      0,                    inf,                      0,               0.077191,              0.0021906,              0.0021906
                     26,                 0.8605,                  2.444,                0.88694,                0.00333,                      1,                  0.695,                 0.2937,                      0,                    inf,                      0,               0.076265,              0.0022654,              0.0022654
                     27,                 1.1332,                 2.7108,                 1.0254,                0.00333,                      1,                  0.695,                 0.2937,                      0,                    inf,                      0,               0.075339,              0.0023391,              0.0023391
